"0.550582	0.449418	2",,2,,2,1,
"0.0186728	0.981327	0",,0,,0,1,
"0.99274	0.00725973	2",,2,,2,1,
"0.313703	0.686297	0",,0,,0,1,
"0.561914	0.438086	2",,0,,2,0,
"0.707778	0.292223	2",,2,,2,1,
"0.430308	0.569692	0",,0,,0,1,
"0.140145	0.859855	0",,0,,0,1,
"0.500473	0.499527	1",,1,,1,1,
"0.197709	0.802291	0",,1,,0,0,
"0.236354	0.763646	0",,0,,0,1,
"0.564543	0.435457	2",,0,,2,0,
"0.898366	0.101634	2",,2,,2,1,
"0.206491	0.793509	0",,0,,0,1,
"0.661064	0.338936	2",,2,,2,1,
"0.836123	0.163877	2",,0,,2,0,
"0.16916	0.83084	0",,1,,0,0,
"0.186242	0.813758	0",,error,,0,0,
"0.163377	0.836623	0",,0,,0,1,
"0.645519	0.354481	2",,1,,2,0,
"0.496532	0.503468	1",,1,,1,1,
"0.262097	0.737903	0",,0,,0,1,
"0.358348	0.641652	0",,2,,0,0,
"0.274916	0.725084	0",,2,,0,0,
"0.305053	0.694947	0",,1,,0,0,
"0.503637	0.496363	1",,1,,1,1,
"0.0737239	0.926276	0",,1,,0,0,
"0.347178	0.652822	0",,2,,0,0,
"0.822776	0.177224	2",,1,,2,0,
"0.0447364	0.955264	0",,2,,0,0,
"0.222053	0.777947	0",,0,,0,1,
"0.978993	0.0210068	2",,2,,2,1,
"0.139854	0.860146	0",,2,,0,0,
"0.421073	0.578927	0",,2,,0,0,
"0.327917	0.672083	0",,1,,0,0,
"0.580188	0.419812	2",,1,,2,0,
"0.97245	0.0275503	2",,0,,2,0,
"0.560864	0.439136	2",,2,,2,1,
"0.73533	0.26467	2",,2,,2,1,
"0.949809	0.0501906	2",,2,,2,1,
"0.929539	0.0704613	2",,0,,2,0,
"0.306849	0.693151	0",,2,,0,0,
"0.55741	0.44259	2",,2,,2,1,
"0.835441	0.164559	2",,2,,2,1,
"0.0647801	0.93522	0",,0,,0,1,
"0.521409	0.478591	1",,0,,1,0,
"0.923708	0.0762923	2",,2,,2,1,
"0.193886	0.806114	0",,1,,0,0,
"0.421861	0.578138	0",,1,,0,0,
"0.5124	0.4876	1",,1,,1,1,
"0.0255744	0.974425	0",,2,,0,0,
"0.375278	0.624722	0",,1,,0,0,
"0.267969	0.732031	0",,2,,0,0,
"0.869349	0.130651	2",,2,,2,1,
"0.430635	0.569365	0",,1,,0,0,
"0.169493	0.830507	0",,0,,0,1,
"0.85877	0.14123	2",,0,,2,0,
"0.391845	0.608155	0",,1,,0,0,
"0.940616	0.0593835	2",,2,,2,1,
"0.279938	0.720062	0",,0,,0,1,
"0.152041	0.847959	0",,2,,0,0,
"0.788927	0.211073	2",,0,,2,0,
"0.380878	0.619122	0",,2,,0,0,
"0.426	0.574	0",,0,,0,1,
"0.228467	0.771533	0",,2,,0,0,
"0.342194	0.657806	0",,2,,0,0,
"0.0929027	0.907097	0",,2,,0,0,
"0.801073	0.198927	2",,0,,2,0,
"0.421934	0.578066	0",,2,,0,0,
"0.603141	0.396859	2",,1,,2,0,
"0.432851	0.567149	0",,1,,0,0,
"0.785301	0.214699	2",,0,,2,0,
"0.94954	0.0504604	2",,1,,2,0,
"0.0102788	0.989721	0",,2,,0,0,
"0.132966	0.867034	0",,2,,0,0,
"0.210418	0.789582	0",,error,,0,0,
"0.0508567	0.949143	0",,error,,0,0,
"0.864924	0.135076	2",,2,,2,1,
"0.185395	0.814605	0",,0,,0,1,
"0.133262	0.866738	0",,2,,0,0,
"0.977804	0.0221964	2",,2,,2,1,
"0.74263	0.25737	2",,0,,2,0,
"0.0966602	0.90334	0",,0,,0,1,
"0.0829572	0.917043	0",,2,,0,0,
"0.00147608	0.998524	0",,error,,0,0,
"0.105643	0.894357	0",,error,,0,0,
"0.242701	0.757299	0",,1,,0,0,
"0.122659	0.877341	0",,2,,0,0,
"0.496494	0.503506	1",,2,,1,0,
"0.29236	0.70764	0",,1,,0,0,
"0.29547	0.70453	0",,1,,0,0,
"0.0757348	0.924265	0",,1,,0,0,
"0.219254	0.780746	0",,2,,0,0,
"0.919365	0.0806353	2",,2,,2,1,
"0.282995	0.717005	0",,1,,0,0,
"0.309316	0.690684	0",,0,,0,1,
"0.483516	0.516484	1",,2,,1,0,
"0.0877195	0.91228	0",,0,,0,1,
"0.534763	0.465237	1",,1,,1,1,
"0.360733	0.639267	0",,0,,0,1,
"0.757674	0.242326	2",,2,,2,1,
"0.203598	0.796402	0",,2,,0,0,
"0.953121	0.0468792	2",,2,,2,1,
"0.732502	0.267498	2",,0,,2,0,
"0.300938	0.699062	0",,0,,0,1,
"0.612296	0.387704	2",,1,,2,0,
"0.824685	0.175315	2",,2,,2,1,
"0.875017	0.124984	2",,2,,2,1,
"0.185626	0.814375	0",,2,,0,0,
"0.518283	0.481717	1",,error,,1,0,
"0.428804	0.571196	0",,2,,0,0,
"0.211251	0.788749	0",,1,,0,0,
"0.0385915	0.961408	0",,0,,0,1,
"0.471122	0.528878	1",,1,,1,1,
"0.342473	0.657527	0",,0,,0,1,
"0.493708	0.506292	1",,1,,1,1,
"0.273278	0.726722	0",,0,,0,1,
"0.458766	0.541234	1",,0,,1,0,
"0.00351368	0.996486	0",,0,,0,1,
"0.123203	0.876797	0",,0,,0,1,
