739676723,螃蟹蟹,力荐,2013-10-28,9910,大家都喜欢那句“为你，千千万万遍”，我却喜欢“我们有什么权利指责别人的过去”
501398740,布拉德·跳票,力荐,2012-11-13,6028,念及那些如风往事，冷暖自知。也许谁的生命里都有一只想要挽回的“风筝”，谁没有令自己痛悔的事，谁能保证自己的心灵永在阳光的照耀下？但重回那个被时光深埋的地点，重新面对心灵的考问，不是每个人都有那份勇气，即使，“那儿有再次成为好人的路”。
31119561,匡匡,较差,2008-02-11,834,所有的罪只可忏悔，无可救赎。
629521767,linn,力荐,2013-01-15,922,为什么忠诚善良的人反而遭到这样的结局，面对阿米尔的污蔑，他和阿里选择离去。当房屋需要他时，他又毅然决然的选择坚守，为了阿米尔能够得到父亲的赞许，哈桑却受到那样的凌辱，换来的却是懦弱的阿米尔的回避，身份，阶级，好可笑的头衔，生命与忠诚在那些虚无的名誉不值一提。犹如草芥浮萍.... 
13174887,安东尼,力荐,2007-09-18,1021,touched how can he write a book just like tell a story?
182606394,拔刀诀,还行,2009-11-25,483,一般般。炒作的恶心
150923107,毛香菇,推荐,2009-09-13,480,过誉
866144660,大头绿豆,推荐,2014-11-25,435,①故事残忍，笔法温细。②哈桑的无我，阿塞夫的残暴，拉辛汗的洞察，索拉雅的包容，除了作者似乎他们都只有某一面。③不止一次想起喀布尔安魂曲。
260100688,胡安叔叔,null,2010-06-12,560,"追到的只有自己的过去
救赎的只有自己的现在"
525736899,砒霜拌饭,null,2013-11-14,420,看了一大半，我想我不会继续看了，卡米尔已经让我十分生气，十分生气，well，我甚至觉得自己一开始不该喜欢作者的小笑话，以及作者让我想起了自己在掩饰的懦弱，非常可恨。
1036294715,赫恩曼尼,力荐,2016-05-23,380,两年前，我在美国上一门英语课。坐在我旁边的男孩就来自阿富汗。当他用英语说出这个名字的时候，我们都以为他穿过重重战火和历史的沉疴而来，身上闪耀着神圣的荣光。而他，只是一个普通的阿富汗男孩，好像天空下奔跑着追风筝的人。
23556196,寂地,还行,2007-11-10,260,非常好的一本通俗小说．适合拍电影的好脚本．里面有很多可贵的东西．但情节上也有些地方不可理喻．前半部非常的棒．但后面落入俗套子－－但还是感动了我．这是作者的处女作，已经非常的了不起了．
143204003,袁牧,较差,2009-07-29,203,翻译能不能查查字典，把‘阿富汗GCD’译成‘新政府’还情有可原，但‘阿訇’为何要变成‘法师’我实在是弄不明白。
143119115,丧茶,推荐,2009-08-12,424,"谁愿为我说“为你 千千万万遍”
我愿为谁说“为你 千千万万遍”"
83337243,沙子,推荐,2008-12-28,229,前半部比后半部好
363515077,不死渔夫,null,2011-03-09,250,改变了我因为19：00对阿富汗20多年的曲解
307773094,ANNXXNA,推荐,2010-10-24,243,往事会自行爬上来。
397975466,九尾黑猫,推荐,2011-06-02,273,“为你，千千万万遍。”我想，小说描写了一种最为诚挚的情感，而且它让你相信有些东西依然存在。在这个没有人相信承诺的年代，让人再次看到承诺背后那些美丽复杂的情感。这是一本好看的书，它让你重新思考。
693413905,福根儿,力荐,2013-09-18,4946,为你，千千万万遍。
487038846,不识愁滋味,推荐,2012-01-26,4049,"“来吧，这里有再次成为好人的路。”
"
363403657,老袁,还行,2011-03-09,121,1，鸡奸处太不可思议了。2，后面的故事有点像知音
426327150,Lotus Eaters,null,2011-08-16,92,和经典文学差一大截呀。
10977315,桃桃淘电影,还行,2007-02-24,92,关于教父的比喻应该是错了，不知是翻译的问题还是原作的问题
478414538,ayi,较差,2012-01-05,77,鸡汤。
634479079,SaintCyr,还行,2013-01-25,95,故事挺好的，除去与阿塞夫重逢的脱线情节。可这根本是部美国小说，阿富汗仅仅是噱头。回想起一次别离给我的震撼，真是对它喜欢不起来。
776667318,安诺,力荐,2014-02-13,136,你有没有做过让你后悔一生的事？
536419981,Wunching,力荐,2014-12-15,149,从头哭到尾啊……童年回忆那悲凉而充满罪恶感的气氛让我想起钢炼…哈桑的善良实在太沉重了。。书本的感情非常触动人心。。。
727177034,大島,力荐,2013-10-29,113,阿米尔追回了他的那只风筝，五星好书。
702221623,麦姐,力荐,2013-07-09,145,善良就是一种勇敢。
6500682,海马,较差,2016-04-28,54,流行书，然而并不好看，无情节无文笔
824706873,好嘢！,还行,2014-07-11,59,几乎贯穿全书这么软弱无能的主角真少见
297776484,游牧人·芳汀,还行,2010-09-26,67,看完的时候哭了，事后却又没有感觉了。奇怪。
828382380,小恩姑娘。,还行,2016-05-22,57,在读英文版，好故事，但是实在太过啰嗦，仿佛要忍着作者的喋喋不休才能读下去。
22575012,hua,还行,2008-08-22,55,作为处女作来说，雕琢痕迹太重。
430453332,[已注销],力荐,2011-08-28,90,人性的救赎。卡勒德.胡赛尼的文字不华丽，很干净，也很深沉。同《灿烂千阳》一样，《追风筝的人》让现代人看到了不一样的故事，让我们惊讶，如此繁华的世界背后，还有这样沉重的悲伤。
852123564,顾惜朝一不小心,推荐,2014-10-08,105,许多年过去了，人们说陈年旧事可以被埋葬，然而我终于明白这是错的，因为往事会自行爬爬上来。我知道电话线连着的，并不只是拉辛汗，还有我过去那些未曾赎还的罪行。为你，我千千万万遍。那儿有再次成为好人的路。
177240699,Miss power,推荐,2009-11-11,78,我不喜欢这种阴郁的东西。
449300772,偷油猫,推荐,2011-10-23,62,书和电影都看过，很能抓住人情绪的书。后来去尼泊尔的巴德岗，看到满街的孩子放风筝，让我突然想起这本书。值得一看。
26954293,小锡兵,还行,2009-02-03,32,不喜欢
411325421,玛可塔,力荐,2011-08-01,36,看到最后几页左手边好重。。
968603485,李苦瓜,力荐,2015-10-17,33,我得很矫情地说：在这烂透了的十月，这本书救了我。或者说这本书的前半段救了我。我在那个敏感、懦弱、对自己苛刻的阿富汗小男孩身上看到自己少年的影子，然后理解并且原谅了现在的我。“我们是忧郁的民族”。破碎的故土、盲目的杀戮，比起那些苦难，我的痛苦反而像是礼物。
745437759,瓦达西瓦又又又桑只爱这巧克力,还行,2013-11-16,33,崩坏的最后一章。
937028436,小城,还行,2016-06-06,32,有无数个可以获高分的理由。但那些都不是我喜欢的人，正直到愚昧的哈桑，自以为救赎可以洗脱罪过的阿米尔。那个也不是我喜欢的世界，这世界上没有比告诉一个人你一出生就是个服侍人的哈扎拉更可怕的事了。人生而自由！
559549940,meiya,推荐,2012-07-23,36,展现了阿富汗生活历史画卷，也表达了对自我的救赎。故事也曲折，老爸死了才知道自己的仆人是同父异母的弟弟的，而自己却逼走了弟弟。
909555341,清秋雨薇MOMO,力荐,2015-04-04,52,我想我们都希望有一个为我们追风筝的人，他在街角回头莞尔一笑，他说，为你，千千万万遍。。。。。。
335628615,R1,还行,2011-03-13,18,作者真他妹别扭
440319483,艾弗砷,很差,2011-09-27,18,写得很有镜头感，有景深有蒙太奇还有闪回。可惜镜头组合的结果是我所不喜的好莱坞煽情风格。我只看到一个被美国洗脑的可怜的阿富汗人。
